Gene Name,Gene Symbol
NZ_CP053601.1:87173-88117,leuO
NZ_CP053601.1:88272-88316,Unknown
NZ_CP053601.1:88435-90159,ilvI
NZ_CP053601.1:90162-90653,ilvN
NZ_CP053601.1:90833-91837,cra
NZ_CP053601.1:92439-92897,mraZ
NZ_CP053601.1:92899-93840,rsmH
NZ_CP053601.1:93837-94202,ftsL
NZ_CP053601.1:94218-95984,ftsI
NZ_CP053601.1:95971-97458,murE
NZ_CP053601.1:97455-98813,murF
NZ_CP053601.1:98807-99889,mraY
NZ_CP053601.1:99892-101208,murD
NZ_CP053601.1:101208-102452,ftsW
NZ_CP053601.1:102449-103516,murG
NZ_CP053601.1:103570-105045,murC
NZ_CP053601.1:105960-106790,ftsQ
NZ_CP053601.1:106787-108049,ftsA
NZ_CP053601.1:108110-109261,ftsZ
NZ_CP053601.1:109362-110279,lpxC
NZ_CP053601.1:110510-111022,secM
NZ_CP053601.1:111084-113789,secA
NZ_CP053601.1:113849-114238,mutT
NZ_CP053601.1:114454-114651,yacG
NZ_CP053601.1:114661-115404,zapD
NZ_CP053601.1:116249-117292,guaC
NZ_CP053601.1:117327-118529,hofC
NZ_CP053601.1:118519-119904,gspE
NZ_CP053601.1:120557-121450,nadC
NZ_CP053601.1:122086-122940,ampE
NZ_CP053601.1:122983-124356,aroP
NZ_CP053601.1:124897-125661,pdhR
NZ_CP053601.1:125822-128485,aceE
NZ_CP053601.1:128500-130392,aceF
NZ_CP053601.1:130717-132141,lpdA
NZ_CP053601.1:132212-134065,yacH
NZ_CP053601.1:134420-137017,acnB
NZ_CP053601.1:137192-137554,yacL
NZ_CP053601.1:137592-138386,speD
NZ_CP053601.1:138402-139268,speE
NZ_CP053601.1:139374-139721,yacC
NZ_CP053601.1:139887-141437,cueO
NZ_CP053601.1:141639-144029,gcd
NZ_CP053601.1:144235-144771,hpt
NZ_CP053601.1:145583-146509,yadG
NZ_CP053601.1:146506-147276,yadH
NZ_CP053601.1:147381-147821,yadI
NZ_CP053601.1:147885-149114,yadE
NZ_CP053601.1:149772-150674,rpnC
NZ_CP053601.1:150748-151599,panC
NZ_CP053601.1:151611-152405,panB
NZ_CP053601.1:152519-153769,yadC
NZ_CP053601.1:153807-154403,yadK
NZ_CP053601.1:154430-155035,yadL
NZ_CP053601.1:155047-155616,yadM
NZ_CP053601.1:155633-158230,htrE
NZ_CP053601.1:158265-159005,yadV
NZ_CP053601.1:159103-159687,yadN
NZ_CP053601.1:160057-160536,folK
NZ_CP053601.1:160533-161930,pcnB
NZ_CP053601.1:161990-162886,gluQRS
NZ_CP053601.1:162953-163408,dksA
NZ_CP053601.1:163586-164290,sfsA
NZ_CP053601.1:164305-164835,thpR
NZ_CP053601.1:164909-167338,hrpB
NZ_CP053601.1:167534-170068,mrcB
NZ_CP053601.1:170288-170722,Unknown
NZ_CP053601.1:170735-171963,Unknown
NZ_CP053601.1:172056-173867,fhuA
NZ_CP053601.1:173918-174715,fhuC
NZ_CP053601.1:174715-175605,fhuD
NZ_CP053601.1:175602-177584,fhuB
NZ_CP053601.1:177742-179022,hemL
NZ_CP053601.1:179247-180668,clcA
NZ_CP053601.1:181141-181764,yadS
NZ_CP053601.1:181802-182602,btuF
NZ_CP053601.1:182595-183293,mtnN
NZ_CP053601.1:183377-184894,dgt
NZ_CP053601.1:185024-186448,degP
NZ_CP053601.1:186603-187760,cdaR
NZ_CP053601.1:187849-188235,yaeH
NZ_CP053601.1:188397-189209,yaeI
NZ_CP053601.1:189263-190087,dapD
NZ_CP053601.1:190118-192790,glnD
NZ_CP053601.1:192852-193646,map
NZ_CP053601.1:194014-194739,rpsB
NZ_CP053601.1:194997-195848,tsf
NZ_CP053601.1:195995-196720,pyrH
NZ_CP053601.1:197012-197569,frr
NZ_CP053601.1:197661-198857,ispC
NZ_CP053601.1:199046-199804,ispU
NZ_CP053601.1:199817-200674,cdsA
NZ_CP053601.1:200686-202038,rseP
NZ_CP053601.1:202068-204500,bamA
NZ_CP053601.1:204622-205107,skp
NZ_CP053601.1:205111-206136,lpxD
NZ_CP053601.1:206241-206696,fabZ
NZ_CP053601.1:206700-207488,lpxA
NZ_CP053601.1:207488-208636,lpxB
NZ_CP053601.1:208633-209229,rnhB
NZ_CP053601.1:209266-212748,dnaE
NZ_CP053601.1:212761-213720,accA
NZ_CP053601.1:213819-215960,ldcC
NZ_CP053601.1:216017-216406,yaeR
NZ_CP053601.1:216471-217769,tilS
NZ_CP053601.1:218431-218976,yaeQ
NZ_CP053601.1:218973-219395,arfB
NZ_CP053601.1:219409-220119,nlpE
NZ_CP053601.1:220319-221143,yaeF
NZ_CP053601.1:221196-222914,proS
NZ_CP053601.1:223025-223732,tsaA
NZ_CP053601.1:223729-224133,rcsF
NZ_CP053601.1:224251-225066,metQ
NZ_CP053601.1:225752-226783,metN
NZ_CP053601.1:226971-227543,gmhB
NZ_CP053601.1:227907-229448,Unknown
NZ_CP053601.1:229886-232793,Unknown
NZ_CP053601.1:233391-234194,dkgB
NZ_CP053601.1:234191-235105,yafC
NZ_CP053601.1:235346-236146,yafD
NZ_CP053601.1:236821-238179,mltD
NZ_CP053601.1:238251-239006,gloB
NZ_CP053601.1:239040-239762,yafS
NZ_CP053601.1:240291-241022,dnaQ
NZ_CP053601.1:242612-243309,Unknown
NZ_CP053601.1:243311-243682,Unknown
NZ_CP053601.1:244113-245249,Unknown
NZ_CP053601.1:245290-246060,yafV
NZ_CP053601.1:246241-246687,ivy
NZ_CP053601.1:246730-249174,fadE
NZ_CP053601.1:250198-250965,yafJ
NZ_CP053601.1:250936-251676,dpaA
NZ_CP053601.1:251832-252110,yafQ
NZ_CP053601.1:252113-252373,dinJ
NZ_CP053601.1:252559-253332,yafL
NZ_CP053601.1:253508-254005,rayT
NZ_CP053601.1:254221-255933,Unknown
NZ_CP053601.1:255905-256690,lafU
NZ_CP053601.1:256761-257816,dinB
NZ_CP053601.1:257868-258161,yafN
NZ_CP053601.1:259270-259473,Unknown
NZ_CP053601.1:259472-259993,prfH
NZ_CP053601.1:260050-261507,pepD
NZ_CP053601.1:261768-262226,gpt
NZ_CP053601.1:262318-263562,frsA
NZ_CP053601.1:264147-264844,Unknown
NZ_CP053601.1:264855-265892,phoE
NZ_CP053601.1:266180-267283,proB
NZ_CP053601.1:267295-268548,proA
NZ_CP053601.1:268865-269203,Unknown
NZ_CP053601.1:269254-270210,paoD
NZ_CP053601.1:270220-272418,paoC
NZ_CP053601.1:272415-273371,paoB
NZ_CP053601.1:273368-274057,paoA
NZ_CP053601.1:274474-275088,yagU
NZ_CP053601.1:275093-275305,Unknown
NZ_CP053601.1:275335-275664,ykgJ
NZ_CP053601.1:276656-278299,ecpD
NZ_CP053601.1:278289-280814,ecpC
NZ_CP053601.1:280840-281508,ecpB
NZ_CP053601.1:281566-282201,ecpA
NZ_CP053601.1:283592-283819,ykgL
NZ_CP053601.1:283994-284257,ykgM
NZ_CP053601.1:285196-285285,Unknown
NZ_CP053601.1:285837-286793,Unknown
NZ_CP053601.1:287209-288060,Unknown
NZ_CP053601.1:288651-289244,rclC
NZ_CP053601.1:289601-290926,rclA
NZ_CP053601.1:291152-292006,rclR
NZ_CP053601.1:292533-293252,ykgE
NZ_CP053601.1:293263-294690,ykgF
NZ_CP053601.1:294683-295378,ykgG
NZ_CP053601.1:295621-296289,ykgH
NZ_CP053601.1:296502-298172,betA
NZ_CP053601.1:298186-299658,betB
NZ_CP053601.1:300388-302421,betT
NZ_CP053601.1:303296-304384,pdeL
NZ_CP053601.1:304426-305358,yahB
NZ_CP053601.1:305450-305947,yahC
NZ_CP053601.1:306205-306810,yahD
NZ_CP053601.1:306850-307713,yahE
NZ_CP053601.1:307703-309250,fdrA
NZ_CP053601.1:309250-310668,yahG
NZ_CP053601.1:311090-312040,yahI
NZ_CP053601.1:312050-313432,yahJ
NZ_CP053601.1:313809-314858,yahK
NZ_CP053601.1:315102-315917,yahL
NZ_CP053601.1:316330-316575,yahM
NZ_CP053601.1:316592-317263,yahN
NZ_CP053601.1:317410-317685,yahO
NZ_CP053601.1:317783-319369,prpR
NZ_CP053601.1:320938-322107,prpC
NZ_CP053601.1:322141-323592,prpD
NZ_CP053601.1:323632-325518,prpE
NZ_CP053601.1:325754-327013,codB
NZ_CP053601.1:327003-328286,codA
NZ_CP053601.1:328623-329522,cynR
NZ_CP053601.1:329631-330290,cynT
NZ_CP053601.1:330321-330791,cynS
NZ_CP053601.1:330797-331978,cynX
NZ_CP053601.1:332081-332692,lacA
NZ_CP053601.1:332758-334011,lacY
NZ_CP053601.1:334063-337137,lacZ
NZ_CP053601.1:337260-338342,lacI
NZ_CP053601.1:338419-339252,mhpR
NZ_CP053601.1:339443-341107,mhpA
NZ_CP053601.1:341109-342053,mhpB
NZ_CP053601.1:342947-343756,mhpD
NZ_CP053601.1:343753-344703,mhpF
NZ_CP053601.1:344700-345713,dmpG
NZ_CP053601.1:346091-347302,mhpT
NZ_CP053601.1:348169-349002,fghA
NZ_CP053601.1:349095-350204,frmA
NZ_CP053601.1:350239-350514,frmR
NZ_CP053601.1:351555-352252,Unknown
NZ_CP053601.1:352416-353378,tauA
NZ_CP053601.1:353391-354158,tauB
NZ_CP053601.1:354155-354982,tauC
NZ_CP053601.1:354979-355830,tauD
NZ_CP053601.1:355937-356911,hemB
NZ_CP053601.1:357434-360340,Unknown
NZ_CP053601.1:360428-361051,iprA
NZ_CP053601.1:361052-362209,ampH
NZ_CP053601.1:362561-363781,sbmA
NZ_CP053601.1:363794-364888,yaiW
NZ_CP053601.1:364947-365255,yaiY
NZ_CP053601.1:365515-365727,yaiZ
NZ_CP053601.1:365751-366845,ddlA
NZ_CP053601.1:367308-367568,iraP
NZ_CP053601.1:367669-369084,phoA
NZ_CP053601.1:369203-369523,psiF
NZ_CP053601.1:369625-370740,adrA
NZ_CP053601.1:370757-371566,proC
NZ_CP053601.1:371686-372144,yaiI
NZ_CP053601.1:372327-372851,aroL
NZ_CP053601.1:373350-374027,aroM
NZ_CP053601.1:374531-374872,Unknown
NZ_CP053601.1:375040-375737,Unknown
NZ_CP053601.1:375807-376718,rdgC
NZ_CP053601.1:376843-377751,mak
NZ_CP053601.1:377996-379180,araJ
NZ_CP053601.1:379306-382452,sbcC
NZ_CP053601.1:382449-383651,sbcD
NZ_CP053601.1:383841-384530,phoB
NZ_CP053601.1:384588-385883,phoR
NZ_CP053601.1:386290-387609,brnQ
NZ_CP053601.1:387685-389058,proY
NZ_CP053601.1:389214-391031,malZ
NZ_CP053601.1:391036-391617,acpH
NZ_CP053601.1:391710-392780,queA
NZ_CP053601.1:392836-393963,tgt
NZ_CP053601.1:394346-396193,secD
NZ_CP053601.1:396204-397175,secF
NZ_CP053601.1:397303-397650,yajD
NZ_CP053601.1:397827-398711,tsx
NZ_CP053601.1:399010-399549,yajI
NZ_CP053601.1:399700-400149,nrdR
NZ_CP053601.1:400153-401256,ribD
NZ_CP053601.1:401345-401815,ribE
NZ_CP053601.1:401835-402254,nusB
NZ_CP053601.1:402332-403309,thiL
NZ_CP053601.1:403287-403805,pgpA
NZ_CP053601.1:403859-404833,yajO
NZ_CP053601.1:405013-406875,dxs
NZ_CP053601.1:406900-407799,ispA
NZ_CP053601.1:408247-409695,thiI
NZ_CP053601.1:410302-411213,panE
NZ_CP053601.1:412000-413364,yajR
NZ_CP053601.1:415794-416684,cyoE
NZ_CP053601.1:416696-417025,cyoD
NZ_CP053601.1:417629-419620,cyoB
NZ_CP053601.1:419642-420589,cyoA
NZ_CP053601.1:421051-422526,ampG
NZ_CP053601.1:422570-423148,yajG
NZ_CP053601.1:423453-423770,bolA
NZ_CP053601.1:424114-425412,tig
NZ_CP053601.1:425658-426281,clpP
NZ_CP053601.1:426407-427681,clpX
NZ_CP053601.1:427951-429063,Unknown
NZ_CP053601.1:429219-431573,lon
NZ_CP053601.1:432246-434117,ppiD
NZ_CP053601.1:434268-434639,ybaV
NZ_CP053601.1:434745-435143,fadM
NZ_CP053601.1:435195-435890,queC
NZ_CP053601.1:435955-437655,ybaE
NZ_CP053601.1:437755-438573,cof
NZ_CP053601.1:438726-439184,decR
NZ_CP053601.1:439214-440986,mdlA
NZ_CP053601.1:440979-442760,mdlB
NZ_CP053601.1:442941-443279,glnK
NZ_CP053601.1:443309-444595,amtB
NZ_CP053601.1:444644-445504,tesB
NZ_CP053601.1:446325-446636,Unknown
NZ_CP053601.1:446799-446895,ffs
NZ_CP053601.1:447015-447368,ybaA
NZ_CP053601.1:447410-448960,pdeB
NZ_CP053601.1:449124-449594,ylaC
NZ_CP053601.1:449710-450261,maa
NZ_CP053601.1:451597-454746,acrB
NZ_CP053601.1:454769-455962,acrA
NZ_CP053601.1:456104-456751,acrR
NZ_CP053601.1:456879-460241,mscK
NZ_CP053601.1:460453-460614,rsmS
NZ_CP053601.1:461225-461602,ybaN
NZ_CP053601.1:461755-462306,apt
NZ_CP053601.1:462435-464366,dnaX
NZ_CP053601.1:464419-464748,ybaB
NZ_CP053601.1:464748-465353,recR
NZ_CP053601.1:465463-467337,htpG
NZ_CP053601.1:467518-468162,adk
NZ_CP053601.1:468398-469360,hemH
NZ_CP053601.1:469357-470316,aes
NZ_CP053601.1:470468-471772,gsk
NZ_CP053601.1:471905-473581,ybaL
NZ_CP053601.1:473819-475039,fsr
NZ_CP053601.1:475257-476909,ushA
NZ_CP053601.1:476946-477425,ybaK
NZ_CP053601.1:477629-478423,ybaP
NZ_CP053601.1:478561-478902,ybaQ
NZ_CP053601.1:479319-481823,copA
NZ_CP053601.1:482085-483017,glsA
NZ_CP053601.1:483020-484312,ybaT
NZ_CP053601.1:484343-484440,Unknown
NZ_CP053601.1:484845-485303,ybbJ
NZ_CP053601.1:485300-486217,qmcA
NZ_CP053601.1:486363-487040,fetA
NZ_CP053601.1:487027-487806,fetB
NZ_CP053601.1:487869-488723,cnoX
NZ_CP053601.1:488784-489593,ybbO
NZ_CP053601.1:490177-490863,ybbA
NZ_CP053601.1:490860-493274,ybbP
NZ_CP053601.1:493704-497984,rhsD
NZ_CP053601.1:498395-499102,Unknown
NZ_CP053601.1:499400-499573,Unknown
NZ_CP053601.1:500574-501668,mnmH
NZ_CP053601.1:501737-502663,allS
NZ_CP053601.1:503453-504268,allR
NZ_CP053601.1:504358-506139,gcl
NZ_CP053601.1:506152-506928,hyi
NZ_CP053601.1:507028-507906,glxR
NZ_CP053601.1:508075-509529,ybbW
NZ_CP053601.1:509589-510950,allB
NZ_CP053601.1:512330-513475,glxK
NZ_CP053601.1:513703-514488,allE
NZ_CP053601.1:514499-515734,allC
NZ_CP053601.1:515756-516805,allD
NZ_CP053601.1:517122-518789,fdrA
NZ_CP053601.1:518799-520058,ylbE
NZ_CP053601.1:520069-520884,ylbF
NZ_CP053601.1:520881-521774,ybcF
NZ_CP053601.1:521911-522978,purK
NZ_CP053601.1:522975-523484,purE
NZ_CP053601.1:523602-524324,lpxH
NZ_CP053601.1:524327-524821,ppiB
NZ_CP053601.1:524995-526380,cysS
NZ_CP053601.1:526416-526937,ybcI
NZ_CP053601.1:527259-528125,folD
NZ_CP053601.1:528596-529138,fimA
NZ_CP053601.1:529358-530050,fimC
NZ_CP053601.1:530081-532690,sfmD
NZ_CP053601.1:532732-533709,fimH
NZ_CP053601.1:533720-534235,sfmF
NZ_CP053601.1:534238-534870,fimZ
NZ_CP053601.1:535205-536368,intD
NZ_CP053601.1:536567-536845,Unknown
NZ_CP053601.1:536893-537111,Unknown
NZ_CP053601.1:537502-537870,Unknown
NZ_CP053601.1:538207-538539,emrE
NZ_CP053601.1:538794-540320,ybcK
NZ_CP053601.1:541346-542143,ybcM
NZ_CP053601.1:542358-542813,ybcN
NZ_CP053601.1:542813-542983,ninE
NZ_CP053601.1:542976-543266,ybcO
NZ_CP053601.1:543263-543625,rusA
NZ_CP053601.1:544421-544933,Unknown
NZ_CP053601.1:545702-546280,Unknown
NZ_CP053601.1:547084-547581,rrrD
NZ_CP053601.1:547798-547980,rzoD
NZ_CP053601.1:548725-548919,ylcI
NZ_CP053601.1:549308-549883,Unknown
NZ_CP053601.1:549980-551788,Unknown
NZ_CP053601.1:552295-552564,Unknown
NZ_CP053601.1:553301-554749,cusS
NZ_CP053601.1:554739-555422,cusR
NZ_CP053601.1:555579-556952,cusC
NZ_CP053601.1:557458-558681,cusB
NZ_CP053601.1:558693-561836,cusA
NZ_CP053601.1:561938-563314,pheP
NZ_CP053601.1:563382-564629,ybdG
NZ_CP053601.1:564737-565390,nfsB
NZ_CP053601.1:565484-565852,ybdF
NZ_CP053601.1:565917-566165,ybdJ
NZ_CP053601.1:566231-567349,ybdK
NZ_CP053601.1:567618-568630,Unknown
NZ_CP053601.1:569619-569771,hokE
NZ_CP053601.1:569848-570960,Unknown
NZ_CP053601.1:571242-571862,entD
NZ_CP053601.1:572037-574277,fepA
NZ_CP053601.1:574521-575723,fes
NZ_CP053601.1:575726-575944,ybdZ
NZ_CP053601.1:575941-579822,entF
NZ_CP053601.1:580038-581171,wzz(fepE)
NZ_CP053601.1:581980-582972,fepG
NZ_CP053601.1:582969-583973,fepD
NZ_CP053601.1:584084-585334,entS
NZ_CP053601.1:585338-586294,fepB
NZ_CP053601.1:586669-587844,entC
NZ_CP053601.1:587854-589464,entE
NZ_CP053601.1:589478-590335,entB
NZ_CP053601.1:590335-591081,entA
NZ_CP053601.1:591084-591497,entH
NZ_CP053601.1:591678-593773,cstA
NZ_CP053601.1:593955-594152,ybdD
NZ_CP053601.1:594162-595250,hcxA
NZ_CP053601.1:595359-596519,ybdL
NZ_CP053601.1:596520-597149,ybdM
NZ_CP053601.1:597122-598192,Unknown
NZ_CP053601.1:598208-598905,Unknown
NZ_CP053601.1:598939-599700,dsbG
NZ_CP053601.1:600880-602445,ahpF
NZ_CP053601.1:602566-602994,uspG
NZ_CP053601.1:603215-604453,ybdR
NZ_CP053601.1:604684-605094,rnk
NZ_CP053601.1:605324-606130,rna
NZ_CP053601.1:606244-607707,citT
NZ_CP053601.1:607758-608636,citG
NZ_CP053601.1:608611-609162,citX
NZ_CP053601.1:609166-610698,citF
NZ_CP053601.1:610709-611617,citE
NZ_CP053601.1:611614-611910,citD
NZ_CP053601.1:611925-612983,citC
NZ_CP053601.1:613069-613766,Unknown
NZ_CP053601.1:613899-615557,dpiB
NZ_CP053601.1:615526-616206,dpiA
NZ_CP053601.1:616247-617632,dcuC
NZ_CP053601.1:618220-618780,pagP
NZ_CP053601.1:619213-619596,crcB
NZ_CP053601.1:619689-620477,Unknown
NZ_CP053601.1:620910-621875,lipA
NZ_CP053601.1:622084-623037,ybeF
NZ_CP053601.1:623296-623937,lipB
NZ_CP053601.1:624411-625622,dacA
NZ_CP053601.1:625762-626850,rlpA
NZ_CP053601.1:626861-627973,mrdB
NZ_CP053601.1:627976-629877,mrdA
NZ_CP053601.1:629908-630375,rlmH
NZ_CP053601.1:631591-632232,nadD
NZ_CP053601.1:632234-633265,holA
NZ_CP053601.1:633265-633846,lptE
NZ_CP053601.1:633861-636443,leuS
NZ_CP053601.1:636678-637160,ybeL
NZ_CP053601.1:637230-638207,ybeQ
NZ_CP053601.1:638371-639078,ybeR
NZ_CP053601.1:639075-640525,djlC
NZ_CP053601.1:640585-642255,hscC
NZ_CP053601.1:642339-643274,rihA
NZ_CP053601.1:643392-643763,gltL
NZ_CP053601.1:643811-645180,Unknown
NZ_CP053601.1:645563-646237,gltK
NZ_CP053601.1:646237-646977,gltJ
NZ_CP053601.1:647147-648055,gltI
NZ_CP053601.1:648510-650387,Unknown
NZ_CP053601.1:650514-652052,lnt
NZ_CP053601.1:652077-652955,corC
NZ_CP053601.1:653045-653512,ybeY
NZ_CP053601.1:653509-654549,ybeZ
NZ_CP053601.1:654702-656126,miaB
NZ_CP053601.1:656272-657447,ubiF
NZ_CP053601.1:658684-660348,asnB
NZ_CP053601.1:660745-661497,nagD
NZ_CP053601.1:661545-662765,nagC
NZ_CP053601.1:662774-663922,nagA
NZ_CP053601.1:663982-664782,nagB
NZ_CP053601.1:665115-667061,nagE
NZ_CP053601.1:667264-668928,glnS
NZ_CP053601.1:669505-670911,chiP
NZ_CP053601.1:670961-671287,chiQ
NZ_CP053601.1:672106-672636,fldA
NZ_CP053601.1:672776-673069,ybfE
NZ_CP053601.1:673209-673973,ybfF
NZ_CP053601.1:674729-676369,pgm
NZ_CP053601.1:676583-677077,Unknown
NZ_CP053601.1:677118-677768,Unknown
NZ_CP053601.1:677892-678041,Unknown
NZ_CP053601.1:678117-679436,potE
NZ_CP053601.1:679433-681631,speF
NZ_CP053601.1:681889-681993,Unknown
NZ_CP053601.1:682227-682904,kdpE
NZ_CP053601.1:682901-685585,kdpD
NZ_CP053601.1:685578-686150,kdpC
NZ_CP053601.1:686159-688207,kdpB
NZ_CP053601.1:688230-689903,kdpA
NZ_CP053601.1:690787-691125,Unknown
NZ_CP053601.1:691052-692596,rhsC
NZ_CP053601.1:692968-694473,Unknown
NZ_CP053601.1:694470-695039,ybfC
NZ_CP053601.1:695283-695510,Unknown
NZ_CP053601.1:696794-697930,Unknown
NZ_CP053601.1:698061-698819,ybfD
NZ_CP053601.1:698970-699479,ybgA
NZ_CP053601.1:699476-700897,phrB
NZ_CP053601.1:700936-702417,dtpD
NZ_CP053601.1:702688-703431,ybgI
NZ_CP053601.1:703454-704110,pxpB
NZ_CP053601.1:704104-705036,pxpC
NZ_CP053601.1:705026-705760,pxpA
NZ_CP053601.1:705796-706587,nei
NZ_CP053601.1:706584-707630,abrB
NZ_CP053601.1:707782-708843,ybgO
NZ_CP053601.1:708840-709571,ybgP
NZ_CP053601.1:709586-712045,ybgQ
NZ_CP053601.1:713052-714335,gltA
NZ_CP053601.1:715774-717540,sdhA
NZ_CP053601.1:717556-718272,sdhB
NZ_CP053601.1:718573-721374,sucA
NZ_CP053601.1:721389-722606,odhB
NZ_CP053601.1:722972-724138,sucC
NZ_CP053601.1:724138-725007,sucD
NZ_CP053601.1:725111-725833,mngR
NZ_CP053601.1:726002-727918,mngA
NZ_CP053601.1:727936-730569,mngB
NZ_CP053601.1:730594-730821,Unknown
NZ_CP053601.1:731416-732984,cydA
NZ_CP053601.1:733000-734139,cydB
NZ_CP053601.1:734267-734560,ybgE
NZ_CP053601.1:734710-735114,ybgC
NZ_CP053601.1:735111-735803,tolQ
NZ_CP053601.1:735807-736235,tolR
NZ_CP053601.1:736300-737565,tolA
NZ_CP053601.1:739025-739546,pal
NZ_CP053601.1:739556-740347,cpoB
NZ_CP053601.1:740723-740798,Unknown
NZ_CP053601.1:740928-741003,Unknown
NZ_CP053601.1:741790-742833,nadA
NZ_CP053601.1:742871-743590,pnuC
NZ_CP053601.1:743587-744528,zitB
NZ_CP053601.1:744642-745022,ybgS
NZ_CP053601.1:745338-746390,aroG
NZ_CP053601.1:746548-747300,gpmA
NZ_CP053601.1:747502-748122,Unknown
NZ_CP053601.1:748363-749646,ybhC
NZ_CP053601.1:749781-750851,Unknown
NZ_CP053601.1:750829-751047,Unknown
NZ_CP053601.1:751087-751254,Unknown
NZ_CP053601.1:751327-751611,Unknown
NZ_CP053601.1:751604-751888,Unknown
NZ_CP053601.1:751888-752049,Unknown
NZ_CP053601.1:752073-752417,Unknown
NZ_CP053601.1:752398-752583,Unknown
NZ_CP053601.1:752716-753264,Unknown
NZ_CP053601.1:753284-753835,Unknown
NZ_CP053601.1:753838-755460,Unknown
NZ_CP053601.1:755460-756212,Unknown
NZ_CP053601.1:756295-756729,Unknown
NZ_CP053601.1:756729-757124,Unknown
NZ_CP053601.1:757166-758158,Unknown
NZ_CP053601.1:758387-758572,Unknown
NZ_CP053601.1:758584-759921,Unknown
NZ_CP053601.1:759959-761104,Unknown
NZ_CP053601.1:761490-761573,Unknown
NZ_CP053601.1:761888-762364,ybhB
NZ_CP053601.1:762423-763712,bioA
NZ_CP053601.1:763799-764839,bioB
NZ_CP053601.1:764836-765990,bioF
NZ_CP053601.1:765977-766732,bioC
NZ_CP053601.1:766725-767402,bioD
NZ_CP053601.1:767981-770002,uvrB
NZ_CP053601.1:770194-771102,ybhK
NZ_CP053601.1:771499-772488,moaA
NZ_CP053601.1:772510-773022,moaB
NZ_CP053601.1:773503-773748,moaD
NZ_CP053601.1:773750-774202,moaE
NZ_CP053601.1:775247-775960,ybhM
NZ_CP053601.1:775996-776952,ybhN
NZ_CP053601.1:776952-778193,clsB
NZ_CP053601.1:778190-778951,ybhP
NZ_CP053601.1:779084-779494,ybhQ
NZ_CP053601.1:779456-780562,ybhR
NZ_CP053601.1:780573-781706,ybhS
NZ_CP053601.1:781699-783435,ybhF
NZ_CP053601.1:783428-784423,hlyD
NZ_CP053601.1:784426-785097,cecR
NZ_CP053601.1:785326-786690,rhlE
NZ_CP053601.1:786922-787404,ybiA
NZ_CP053601.1:787524-789674,dinG
NZ_CP053601.1:789702-790664,ybiB
NZ_CP053601.1:790805-791890,hcxB
NZ_CP053601.1:792644-792910,ybiI
NZ_CP053601.1:792984-793661,ybiX
NZ_CP053601.1:793703-795985,fiu
NZ_CP053601.1:796250-796510,mcbA
